Date,Open,High,Low,Settle,Volume
18/06/2012,6322,6339.5,6225.5,6248,179923
19/06/2012,6247,6384.5,6236,6364.5,151104
20/06/2012,6325,6424,6321,6394,135650
21/06/2012,6363,6431.5,6267,6355.5,154226
22/06/2012,6305,6322.5,6258.5,6261,126207
25/06/2012,6263.5,6270,6120.5,6150,128806
26/06/2012,6165.5,6184,6110.5,6141.5,121168
27/06/2012,6164.5,6248,6134.5,6219.5,116556
28/06/2012,6250,6250,6098,6151,167347
29/06/2012,6290,6438.5,6264,6411.5,170483
02/07/2012,6445,6547,6395,6489,152692
03/07/2012,6522,6597,6507.5,6577,111937
04/07/2012,6592.5,6592.5,6528,6561.5,71728
05/07/2012,6557.5,6647.5,6478,6538,174025
06/07/2012,6517,6537,6406,6414.5,127009
09/07/2012,6406,6425,6378,6399.5,108549
10/07/2012,6394.5,6494.5,6350.5,6450,141362
11/07/2012,6419,6503.5,6401.5,6451.5,118063
12/07/2012,6428,6463,6367,6425,132787
13/07/2012,6464,6577.5,6437.5,6542.5,115131
16/07/2012,6555,6578.5,6510.5,6576,87014
17/07/2012,6586.5,6630,6542,6568,116692
18/07/2012,6590,6698.5,6579.5,6681.5,119164
19/07/2012,6713,6776.5,6699,6753,120780
20/07/2012,6742,6781.5,6621,6633.5,150971
23/07/2012,6546,6575.5,6371,6427,176960
24/07/2012,6440,6457.5,6314,6405.5,152472
25/07/2012,6345,6477,6341.5,6402.5,148958
26/07/2012,6407.5,6597.5,6323,6575,210710
27/07/2012,6612.5,6817.5,6513.5,6682.5,183129
30/07/2012,6756.5,6798,6703,6782.5,130700
31/07/2012,6810.5,6838,6755,6784,137657
01/08/2012,6776.5,6803.5,6726,6758,109714
02/08/2012,6766.5,6864,6552,6613,216781
03/08/2012,6612,6890.5,6606.5,6867.5,173157
06/08/2012,6869,6945,6847,6921,112743
07/08/2012,6910,6990,6896.5,6964.5,117132
08/08/2012,6958.5,6972,6907.5,6961,107511
09/08/2012,6982,7004,6890.5,6960.5,126687
10/08/2012,6925.5,6968.5,6891,6951.5,99496
13/08/2012,6940,6979,6882,6914,106651
14/08/2012,6962.5,6997,6939,6969.5,88690
15/08/2012,6943.5,6975,6907.5,6952,89877
16/08/2012,6984,7018,6928.5,6992.5,88130
17/08/2012,7010,7055,6999.5,7035.5,99159
20/08/2012,7047,7087,7010,7035,98075
21/08/2012,7049,7108,7042,7093,94099
22/08/2012,7047.5,7062,7005,7023,114691
23/08/2012,7079.5,7083,6923.5,6963,122091
24/08/2012,6960,6993,6885.5,6978,115671
27/08/2012,6968.5,7051.5,6946,7045,82929
28/08/2012,7010,7031.5,6975,7003.5,110364
29/08/2012,7010,7032.5,6945,7001,97896
30/08/2012,6970,6981.5,6870.5,6907.5,105435
31/08/2012,6907,7014,6890,6969.5,136812
03/09/2012,6951,7019.5,6940,7011.5,66456
04/09/2012,7002.5,7019,6919.5,6941.5,114815
05/09/2012,6943.5,7004,6892.5,6966.5,146880
06/09/2012,6990.5,7174.5,6977.5,7158.5,178713
07/09/2012,7166,7250,7165,7222.5,135136
10/09/2012,7208,7235,7185.5,7216,82419
11/09/2012,7182,7315,7173.5,7313,136056
12/09/2012,7313,7411.5,7307,7352,175895
13/09/2012,7340,7406,7279.5,7314.5,124728
14/09/2012,7421.5,7447.5,7382,7410.5,144299
17/09/2012,7382,7416,7369.5,7398.5,99988
18/09/2012,7387,7389.5,7305,7369,172580
19/09/2012,7391,7403.5,7325,7392.5,182784
20/09/2012,7352,7402,7312.5,7383,161310
21/09/2012,7426,7431,7391,7476.08,25334
24/09/2012,7422,7445.5,7390,7418.5,85163
25/09/2012,7434.5,7443.5,7351.5,7426,105304
26/09/2012,7367.5,7376,7258.5,7294.5,136246
27/09/2012,7331,7351,7271.5,7291.5,112040
28/09/2012,7347.5,7354.5,7220,7238.5,136749
01/10/2012,7211,7343.5,7209.5,7333.5,135456
02/10/2012,7286,7378,7269,7312.5,134781
03/10/2012,7308,7343.5,7275,7328,115184
04/10/2012,7352.5,7378,7285,7304,123489
05/10/2012,7338,7412.5,7315,7392.5,112202
08/10/2012,7352.5,7359,7287,7300,90802
09/10/2012,7328,7329,7221,7228,124341
10/10/2012,7225,7249,7185.5,7217.5,108595
11/10/2012,7193.5,7308.5,7183,7285.5,126473
12/10/2012,7270.5,7294.5,7232.5,7245.5,115993
15/10/2012,7235,7306,7222,7265,114249
16/10/2012,7313,7394,7296,7380.5,124757
17/10/2012,7390,7404.5,7369.5,7398.5,111234
18/10/2012,7408,7449.5,7391,7441,119676
19/10/2012,7416,7433.5,7330.5,7367.5,134056
22/10/2012,7366.5,7393,7303.5,7323.5,112218
23/10/2012,7338.5,7346.5,7154,7177.5,157958
24/10/2012,7215.5,7218,7120,7195.5,137625
25/10/2012,7210,7259.5,7183,7199,114135
26/10/2012,7153.5,7259,7145.5,7232,128697
29/10/2012,7227,7228,7172.5,7206.5,59881
30/10/2012,7198,7295,7198,7276.5,61806
31/10/2012,7287.5,7350,7254.5,7271,116057
01/11/2012,7268.5,7359.5,7246,7333.5,113413
02/11/2012,7349,7392.5,7313.5,7360.5,110776
05/11/2012,7322.5,7355,7306,7328,93703
06/11/2012,7356.5,7420,7320,7375.5,99091
07/11/2012,7416.5,7440,7223.5,7231,193824
08/11/2012,7260.5,7289.5,7184,7210,141244
09/11/2012,7233,7238,7063.5,7170,181511
12/11/2012,7167.5,7202.5,7137.5,7171.5,80434
13/11/2012,7146.5,7187.5,7075.5,7175.5,158941
14/11/2012,7153,7185,7031.5,7116,132046
15/11/2012,7050,7080,7011.5,7045.5,130573
16/11/2012,7034,7060,6948,6958.5,161401
19/11/2012,7012,7131,7006,7125,113355
20/11/2012,7103.5,7188,7092.5,7174.5,119078
21/11/2012,7142.5,7196,7136,7187.5,84270
22/11/2012,7211,7255,7206.5,7248,59586
23/11/2012,7258,7336,7220.5,7306.5,85741
26/11/2012,7292,7315.5,7274,7293,87595
27/11/2012,7330.5,7365,7306.5,7338.5,107589
28/11/2012,7315,7387,7265,7349,133909
29/11/2012,7391,7418.5,7371,7401,121984
30/11/2012,7396,7445,7390.5,7419,104553
03/12/2012,7429,7489,7417,7435.5,123079
04/12/2012,7418.5,7468,7413.5,7428.5,111999
05/12/2012,7499.5,7507,7428.5,7445,130725
06/12/2012,7468,7558,7461,7537.5,140049
07/12/2012,7546.5,7555,7487.5,7509,125653
10/12/2012,7522.5,7541.5,7457.5,7531.5,107144
11/12/2012,7534,7598.5,7521,7592.5,108747
12/12/2012,7596.5,7644,7587,7615,102104
13/12/2012,7597.5,7621.5,7561.5,7572,119778
14/12/2012,7592,7622,7571,7595,105930
17/12/2012,7610.5,7629,7565.5,7599.5,140395
18/12/2012,7642,7674,7625,7661.5,162402
19/12/2012,7673,7683,7654,7673,186180
20/12/2012,7645,7694.5,7636.5,7671.5,121948
21/12/2012,7610,7650,7596,7629.25,18453
27/12/2012,7631.5,7685.5,7630,7657.5,54830
28/12/2012,7666.5,7675.5,7611.5,7618.5,38121
02/01/2013,7744.5,7805.5,7727,7778.5,117745
03/01/2013,7769,7781,7740,7760,76985
04/01/2013,7747.5,7792.5,7730,7769.5,82768
07/01/2013,7765,7778,7715,7731.5,73202
08/01/2013,7716,7758.5,7686,7699,94268
09/01/2013,7714,7739,7692,7726,84039
10/01/2013,7744,7779,7687.5,7707.5,111622
11/01/2013,7730.5,7735,7686.5,7716.5,89050
14/01/2013,7745,7790.5,7705,7739,103074
